dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 841, 1000000, 0.000841
10, 1200, KNePopMetric__multi_color_detect, 9945, 1000000, 0.009945
10, 1200, KNePopMetric__multi_detect, 12064, 1000000, 0.012064
10, 1200, KNePopMetric__red_color_detect, 788, 1000000, 0.000788
10, 1200, KNePopMetric__ztfrest_simple, 1338, 1000000, 0.001338
10, 1200, KNePopMetric__ztfrest_simple_blue, 883, 1000000, 0.000883
10, 1200, KNePopMetric__ztfrest_simple_red, 554, 1000000, 0.000554
