dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 785, 1000000, 0.000785
10, 1200, KNePopMetric__multi_color_detect, 10017, 1000000, 0.010017
10, 1200, KNePopMetric__multi_detect, 12100, 1000000, 0.0121
10, 1200, KNePopMetric__red_color_detect, 759, 1000000, 0.000759
10, 1200, KNePopMetric__ztfrest_simple, 1298, 1000000, 0.001298
10, 1200, KNePopMetric__ztfrest_simple_blue, 881, 1000000, 0.000881
10, 1200, KNePopMetric__ztfrest_simple_red, 514, 1000000, 0.000514
