dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 856, 1000000, 0.000856
10, 1200, KNePopMetric__multi_color_detect, 8759, 1000000, 0.008759
10, 1200, KNePopMetric__multi_detect, 10917, 1000000, 0.010917
10, 1200, KNePopMetric__red_color_detect, 596, 1000000, 0.000596
10, 1200, KNePopMetric__ztfrest_simple, 1002, 1000000, 0.001002
10, 1200, KNePopMetric__ztfrest_simple_blue, 717, 1000000, 0.000717
10, 1200, KNePopMetric__ztfrest_simple_red, 393, 1000000, 0.000393
