dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 1070, 1000000, 0.00107
10, 1200, KNePopMetric__multi_color_detect, 5904, 1000000, 0.005904
10, 1200, KNePopMetric__multi_detect, 7996, 1000000, 0.007996
10, 1200, KNePopMetric__red_color_detect, 632, 1000000, 0.000632
10, 1200, KNePopMetric__ztfrest_simple, 912, 1000000, 0.000912
10, 1200, KNePopMetric__ztfrest_simple_blue, 625, 1000000, 0.000625
10, 1200, KNePopMetric__ztfrest_simple_red, 341, 1000000, 0.000341
