dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 846, 1000000, 0.000846
10, 1200, KNePopMetric__multi_color_detect, 8688, 1000000, 0.008688
10, 1200, KNePopMetric__multi_detect, 10599, 1000000, 0.010599
10, 1200, KNePopMetric__red_color_detect, 726, 1000000, 0.000726
10, 1200, KNePopMetric__ztfrest_simple, 1079, 1000000, 0.001079
10, 1200, KNePopMetric__ztfrest_simple_blue, 758, 1000000, 0.000758
10, 1200, KNePopMetric__ztfrest_simple_red, 412, 1000000, 0.000412
