dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 1029, 1000000, 0.001029
10, 1200, KNePopMetric__multi_color_detect, 5812, 1000000, 0.005812
10, 1200, KNePopMetric__multi_detect, 7921, 1000000, 0.007921
10, 1200, KNePopMetric__red_color_detect, 604, 1000000, 0.000604
10, 1200, KNePopMetric__ztfrest_simple, 1035, 1000000, 0.001035
10, 1200, KNePopMetric__ztfrest_simple_blue, 777, 1000000, 0.000777
10, 1200, KNePopMetric__ztfrest_simple_red, 313, 1000000, 0.000313
