dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 967, 1000000, 0.000967
10, 1200, KNePopMetric__multi_color_detect, 7770, 1000000, 0.00777
10, 1200, KNePopMetric__multi_detect, 9833, 1000000, 0.009833
10, 1200, KNePopMetric__red_color_detect, 649, 1000000, 0.000649
10, 1200, KNePopMetric__ztfrest_simple, 924, 1000000, 0.000924
10, 1200, KNePopMetric__ztfrest_simple_blue, 679, 1000000, 0.000679
10, 1200, KNePopMetric__ztfrest_simple_red, 350, 1000000, 0.00035
