dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 1200, KNePopMetric__blue_color_detect, 1073, 1000000, 0.001073
10, 1200, KNePopMetric__multi_color_detect, 5782, 1000000, 0.005782
10, 1200, KNePopMetric__multi_detect, 7892, 1000000, 0.007892
10, 1200, KNePopMetric__red_color_detect, 562, 1000000, 0.000562
10, 1200, KNePopMetric__ztfrest_simple, 920, 1000000, 0.00092
10, 1200, KNePopMetric__ztfrest_simple_blue, 663, 1000000, 0.000663
10, 1200, KNePopMetric__ztfrest_simple_red, 323, 1000000, 0.000323
