dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 1807, 500000, 0.003614
10, 600, KNePopMetric__multi_color_detect, 25136, 500000, 0.050272
10, 600, KNePopMetric__multi_detect, 28606, 500000, 0.057212
10, 600, KNePopMetric__red_color_detect, 3416, 500000, 0.006832
10, 600, KNePopMetric__ztfrest_simple, 3755, 500000, 0.00751
10, 600, KNePopMetric__ztfrest_simple_blue, 2119, 500000, 0.004238
10, 600, KNePopMetric__ztfrest_simple_red, 1983, 500000, 0.003966
