dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2613, 500000, 0.005226
10, 600, KNePopMetric__multi_color_detect, 17836, 500000, 0.035672
10, 600, KNePopMetric__multi_detect, 22034, 500000, 0.044068
10, 600, KNePopMetric__red_color_detect, 3594, 500000, 0.007188
10, 600, KNePopMetric__ztfrest_simple, 5241, 500000, 0.010482
10, 600, KNePopMetric__ztfrest_simple_blue, 3276, 500000, 0.006552
10, 600, KNePopMetric__ztfrest_simple_red, 2392, 500000, 0.004784
