dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 1571, 500000, 0.003142
10, 600, KNePopMetric__multi_color_detect, 22617, 500000, 0.045234
10, 600, KNePopMetric__multi_detect, 25706, 500000, 0.051412
10, 600, KNePopMetric__red_color_detect, 3978, 500000, 0.007956
10, 600, KNePopMetric__ztfrest_simple, 5203, 500000, 0.010406
10, 600, KNePopMetric__ztfrest_simple_blue, 2626, 500000, 0.005252
10, 600, KNePopMetric__ztfrest_simple_red, 3115, 500000, 0.00623
