dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2084, 500000, 0.004168
10, 600, KNePopMetric__multi_color_detect, 23226, 500000, 0.046452
10, 600, KNePopMetric__multi_detect, 26096, 500000, 0.052192
10, 600, KNePopMetric__red_color_detect, 3666, 500000, 0.007332
10, 600, KNePopMetric__ztfrest_simple, 4161, 500000, 0.008322
10, 600, KNePopMetric__ztfrest_simple_blue, 2288, 500000, 0.004576
10, 600, KNePopMetric__ztfrest_simple_red, 2317, 500000, 0.004634
