dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2406, 500000, 0.004812
10, 600, KNePopMetric__multi_color_detect, 23391, 500000, 0.046782
10, 600, KNePopMetric__multi_detect, 26615, 500000, 0.05323
10, 600, KNePopMetric__red_color_detect, 3515, 500000, 0.00703
10, 600, KNePopMetric__ztfrest_simple, 4257, 500000, 0.008514
10, 600, KNePopMetric__ztfrest_simple_blue, 2457, 500000, 0.004914
10, 600, KNePopMetric__ztfrest_simple_red, 2246, 500000, 0.004492
