dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2362, 500000, 0.004724
10, 600, KNePopMetric__multi_color_detect, 24219, 500000, 0.048438
10, 600, KNePopMetric__multi_detect, 29019, 500000, 0.058038
10, 600, KNePopMetric__red_color_detect, 4258, 500000, 0.008516
10, 600, KNePopMetric__ztfrest_simple, 4278, 500000, 0.008556
10, 600, KNePopMetric__ztfrest_simple_blue, 2262, 500000, 0.004524
10, 600, KNePopMetric__ztfrest_simple_red, 2339, 500000, 0.004678
