dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2771, 500000, 0.005542
10, 600, KNePopMetric__multi_color_detect, 17780, 500000, 0.03556
10, 600, KNePopMetric__multi_detect, 21950, 500000, 0.0439
10, 600, KNePopMetric__red_color_detect, 3581, 500000, 0.007162
10, 600, KNePopMetric__ztfrest_simple, 5075, 500000, 0.01015
10, 600, KNePopMetric__ztfrest_simple_blue, 3171, 500000, 0.006342
10, 600, KNePopMetric__ztfrest_simple_red, 2302, 500000, 0.004604
