dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2215, 500000, 0.00443
10, 600, KNePopMetric__multi_color_detect, 22966, 500000, 0.045932
10, 600, KNePopMetric__multi_detect, 26123, 500000, 0.052246
10, 600, KNePopMetric__red_color_detect, 3561, 500000, 0.007122
10, 600, KNePopMetric__ztfrest_simple, 4127, 500000, 0.008254
10, 600, KNePopMetric__ztfrest_simple_blue, 2374, 500000, 0.004748
10, 600, KNePopMetric__ztfrest_simple_red, 2165, 500000, 0.00433
