dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2694, 500000, 0.005388
10, 600, KNePopMetric__multi_color_detect, 17773, 500000, 0.035546
10, 600, KNePopMetric__multi_detect, 22183, 500000, 0.044366
10, 600, KNePopMetric__red_color_detect, 3574, 500000, 0.007148
10, 600, KNePopMetric__ztfrest_simple, 3774, 500000, 0.007548
10, 600, KNePopMetric__ztfrest_simple_blue, 2323, 500000, 0.004646
10, 600, KNePopMetric__ztfrest_simple_red, 1672, 500000, 0.003344
