dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 1718, 500000, 0.003436
10, 600, KNePopMetric__multi_color_detect, 22802, 500000, 0.045604
10, 600, KNePopMetric__multi_detect, 25790, 500000, 0.05158
10, 600, KNePopMetric__red_color_detect, 3799, 500000, 0.007598
10, 600, KNePopMetric__ztfrest_simple, 4612, 500000, 0.009224
10, 600, KNePopMetric__ztfrest_simple_blue, 2480, 500000, 0.00496
10, 600, KNePopMetric__ztfrest_simple_red, 2585, 500000, 0.00517
