dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 1566, 500000, 0.003132
10, 600, KNePopMetric__multi_color_detect, 20971, 500000, 0.041942
10, 600, KNePopMetric__multi_detect, 23788, 500000, 0.047576
10, 600, KNePopMetric__red_color_detect, 3415, 500000, 0.00683
10, 600, KNePopMetric__ztfrest_simple, 4078, 500000, 0.008156
10, 600, KNePopMetric__ztfrest_simple_blue, 2185, 500000, 0.00437
10, 600, KNePopMetric__ztfrest_simple_red, 2304, 500000, 0.004608
