dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 2108, 500000, 0.004216
10, 600, KNePopMetric__multi_color_detect, 24086, 500000, 0.048172
10, 600, KNePopMetric__multi_detect, 26975, 500000, 0.05395
10, 600, KNePopMetric__red_color_detect, 3803, 500000, 0.007606
10, 600, KNePopMetric__ztfrest_simple, 4409, 500000, 0.008818
10, 600, KNePopMetric__ztfrest_simple_blue, 2456, 500000, 0.004912
10, 600, KNePopMetric__ztfrest_simple_red, 2462, 500000, 0.004924
