dist_min_Mpc, dist_max_Mpc, metric, found, total, efficiency
10, 600, KNePopMetric__blue_color_detect, 1881, 500000, 0.003762
10, 600, KNePopMetric__multi_color_detect, 24321, 500000, 0.048642
10, 600, KNePopMetric__multi_detect, 27705, 500000, 0.05541
10, 600, KNePopMetric__red_color_detect, 3595, 500000, 0.00719
10, 600, KNePopMetric__ztfrest_simple, 4125, 500000, 0.00825
10, 600, KNePopMetric__ztfrest_simple_blue, 2303, 500000, 0.004606
10, 600, KNePopMetric__ztfrest_simple_red, 2195, 500000, 0.00439
